 Procedimentos hospitalares do SUS - por local de internação - Brasil
Média permanência por Unidade da Federação e Ano/mês atendimento
Período:Ago/2010-Ago/2020
"Unidade da Federação";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"41 Paraná";413,0;...;...;...;709,0;329,5;45,4;18,5;7,7;6,8;6,0;5,1;5,0;5,1;5,0;5,0;5,1;5,1;5,1;5,1;5,1;5,2;5,2;5,2;5,2;5,1;5,1;5,0;5,2;4,9;4,9;5,1;5,0;4,9;5,0;4,9;4,9;5,0;5,0;4,9;5,1;5,0;4,9;4,9;4,9;4,8;4,9;5,0;4,9;4,9;4,9;4,8;5,1;4,9;4,9;4,9;4,8;4,9;4,9;4,7;4,7;4,9;4,7;4,8;5,1;4,9;4,8;4,8;4,8;4,7;4,8;4,6;4,7;4,8;4,7;4,7;4,8;4,6;4,6;4,6;4,6;4,6;4,7;4,5;4,7;4,5;4,6;4,6;4,7;4,5;4,5;4,6;4,4;4,6;4,5;4,4;4,5;4,5;4,4;4,3;4,5;4,5;4,4;4,4;4,5;4,7;4,4;4,5;4,4;4,4;4,4;4,4;4,4;4,2;4,3;4,3;4,2;4,4;4,3;4,3;4,3;4,3;4,2;4,3;4,4;4,3;4,2;4,9;4,5;4,5;4,3;3,4;4,7
"42 Santa Catarina";...;...;...;...;621,0;1378,5;88,9;31,6;10,8;9,1;6,6;5,3;5,4;5,3;5,3;5,1;5,4;5,4;5,4;5,2;5,3;5,5;5,3;5,5;5,4;5,4;5,2;5,0;5,3;5,2;5,3;5,3;5,1;5,2;5,3;5,3;5,1;5,3;5,2;5,2;5,7;5,2;5,0;5,2;5,3;5,2;5,2;5,1;5,0;5,1;5,0;4,8;5,2;5,0;5,2;5,1;5,0;5,0;5,0;5,1;4,9;4,9;4,9;5,0;5,2;4,9;4,8;4,9;4,9;5,0;4,8;4,7;4,6;4,8;4,7;4,6;5,1;4,8;5,0;4,6;4,8;5,3;9,0;4,7;4,8;4,7;4,7;4,5;4,9;4,8;4,7;4,7;4,6;4,7;4,7;4,7;4,7;4,6;4,6;4,3;4,8;4,6;4,6;4,6;4,7;4,6;4,6;4,6;4,6;4,5;4,5;4,4;4,6;4,4;4,6;4,4;4,4;4,4;4,3;4,4;4,4;4,3;4,2;4,4;4,4;4,3;4,2;4,8;4,5;4,4;4,2;3,1;5,0
"43 Rio Grande do Sul";...;690,0;570,0;773,0;203,2;78,1;37,2;20,0;11,3;10,5;7,7;6,2;6,2;6,1;6,1;5,8;6,0;6,1;6,2;6,2;6,1;6,2;6,2;6,1;6,3;6,3;6,1;5,9;6,1;6,1;6,1;6,1;6,1;6,2;6,1;6,2;6,1;6,0;6,2;6,1;6,3;6,4;6,3;6,2;6,3;6,3;6,3;6,3;6,2;6,3;6,2;6,1;6,2;6,1;6,2;6,3;6,2;6,3;6,3;6,2;6,1;6,1;6,1;6,1;6,2;6,1;5,9;6,1;6,1;6,1;6,2;6,1;6,2;6,3;6,1;6,0;6,1;6,1;6,0;6,1;6,1;6,1;6,2;6,1;6,2;6,2;6,1;5,9;6,1;6,1;6,0;6,1;6,0;6,1;6,0;6,1;6,2;6,1;6,0;5,9;6,1;6,1;6,0;6,0;6,2;6,2;6,1;6,3;6,3;6,2;6,1;6,0;6,2;6,1;6,2;6,0;6,0;6,1;6,0;6,0;6,0;6,0;6,0;5,9;6,0;5,9;5,5;6,1;5,9;5,7;5,4;3,8;6,1
"50 Mato Grosso do Sul";...;...;...;...;299,5;172,6;50,1;24,9;10,1;7,9;6,1;4,6;4,6;5,0;4,8;4,5;4,6;4,7;4,9;4,8;4,6;4,8;4,8;4,7;4,8;4,8;4,6;4,5;4,8;4,8;4,8;4,8;4,8;5,0;5,0;5,0;4,9;4,9;4,9;4,7;5,0;4,8;4,8;4,9;4,8;4,8;4,8;5,0;4,8;4,8;4,6;4,6;4,9;4,7;4,8;4,7;4,9;5,0;4,8;5,0;4,8;4,7;4,8;4,7;4,9;4,8;4,8;4,8;4,7;4,7;4,8;4,7;4,7;4,7;4,7;4,6;4,9;5,0;4,9;4,8;4,8;4,8;4,9;4,8;4,6;4,7;4,8;4,6;5,0;4,9;4,9;4,8;4,7;4,8;4,7;4,7;4,5;4,7;4,7;4,6;4,8;5,0;4,6;4,7;4,8;4,9;4,6;4,8;4,6;4,6;4,5;4,7;4,8;4,7;4,6;4,6;4,5;4,6;4,6;4,8;4,7;4,6;4,7;4,6;4,4;4,4;4,4;4,7;4,7;4,4;4,1;3,2;4,8
"51 Mato Grosso";...;...;...;...;332,0;203,1;68,7;25,6;10,5;8,0;6,1;4,3;4,4;4,5;4,4;4,2;4,5;4,3;4,4;4,3;4,6;4,7;4,6;4,5;4,5;4,9;4,4;4,3;4,5;4,4;4,3;4,4;4,3;4,4;4,4;4,4;4,4;4,7;4,6;4,4;4,5;4,4;4,3;4,3;4,5;4,5;4,5;4,4;4,3;4,7;4,5;4,3;4,6;4,4;4,4;4,5;4,5;4,4;4,3;4,3;4,3;4,6;4,6;4,4;4,7;4,5;4,6;4,5;4,5;4,6;4,6;4,6;4,4;4,9;4,6;4,4;4,7;4,6;4,4;4,4;4,5;4,6;4,6;4,6;4,6;4,7;4,8;4,6;4,8;4,6;4,6;4,6;4,4;4,5;4,6;4,5;4,5;4,8;4,7;4,5;4,7;4,5;4,5;4,4;4,5;4,6;4,5;4,5;4,6;4,6;4,8;4,7;4,8;4,5;4,5;4,5;4,6;4,5;4,4;4,6;4,3;4,5;4,5;4,3;4,6;4,4;4,0;4,3;4,2;4,1;4,0;3,1;4,5
"52 Goiás";...;...;...;...;1122,1;434,8;272,1;78,5;107,0;8,5;7,7;5,0;5,0;5,0;4,8;4,8;5,1;4,7;4,8;4,7;5,1;5,0;5,0;5,0;5,0;5,5;5,1;5,0;5,3;5,2;5,1;5,1;5,0;5,4;5,2;5,3;4,9;5,1;5,4;5,2;5,2;5,0;4,9;4,9;4,8;4,7;5,2;4,9;5,0;4,8;4,8;4,6;4,7;4,7;4,5;4,6;4,6;4,7;4,7;4,5;4,6;4,6;4,7;5,2;4,9;4,6;4,9;4,9;4,6;4,9;4,9;4,7;4,9;4,7;4,7;5,1;5,1;4,7;4,6;4,6;4,6;4,7;4,8;4,8;4,5;4,9;5,0;4,8;4,8;4,5;4,6;4,4;4,3;4,5;4,5;4,4;4,5;4,5;4,6;4,6;4,7;4,6;4,4;4,6;4,6;4,7;4,9;4,7;4,6;4,8;4,7;4,7;4,7;4,6;4,7;4,4;4,5;4,5;4,6;4,7;4,6;4,6;4,7;4,7;4,8;4,6;4,4;4,8;4,6;4,7;4,8;3,7;5,0
"53 Distrito Federal";...;...;...;...;270,3;135,6;112,5;43,2;20,9;14,8;10,0;6,5;6,6;6,6;7,0;6,7;7,0;6,5;6,6;6,5;6,4;6,7;6,8;6,7;7,1;7,2;7,0;6,9;7,4;6,9;6,8;7,1;7,0;7,0;7,0;6,9;6,5;6,7;6,7;6,6;6,8;6,3;6,1;6,4;6,6;6,3;6,5;6,3;6,1;6,5;6,8;6,8;6,8;6,4;6,5;6,5;6,5;6,6;6,6;6,3;6,3;6,5;6,6;6,6;6,9;6,7;6,6;6,5;6,5;6,5;6,6;6,8;6,9;6,8;6,5;6,4;6,8;6,4;6,2;6,3;6,4;6,1;6,3;6,2;6,1;6,3;6,3;6,1;6,2;6,0;5,7;6,2;6,1;6,0;6,3;6,2;6,3;6,2;6,4;6,1;6,5;6,2;5,8;6,1;5,8;6,0;6,3;6,0;6,0;6,4;6,1;5,9;6,1;5,6;5,6;5,8;5,8;5,8;5,9;5,6;5,5;5,6;5,8;5,6;5,7;5,3;5,1;4,9;5,0;5,0;5,0;3,6;6,3
"Total";20038,6;25556,0;25534,1;6278,1;4210,8;406,7;134,2;99,5;18,6;10,4;7,4;5,7;5,5;5,7;5,4;5,4;6,1;5,5;5,4;5,4;5,3;5,5;5,5;5,6;5,5;5,6;5,4;5,3;6,0;5,4;5,3;5,4;5,4;5,5;5,5;5,4;5,3;5,8;5,5;5,5;6,6;5,6;5,5;5,4;5,5;5,4;5,5;5,4;5,3;5,7;5,4;5,3;6,0;5,4;5,4;5,4;5,3;5,5;5,5;5,5;5,4;5,3;5,3;5,5;5,6;5,4;5,2;5,3;5,3;5,4;5,4;5,3;5,3;5,3;5,3;5,3;5,6;5,3;5,3;5,3;5,3;5,3;5,7;5,3;5,3;5,4;5,3;5,3;5,5;5,3;5,2;5,2;5,1;5,2;5,2;5,3;5,2;5,2;5,2;5,1;5,3;5,2;5,1;5,1;5,1;5,2;5,2;5,1;5,1;5,1;5,1;5,1;5,3;5,1;5,2;5,0;5,0;5,1;5,1;5,1;5,0;5,0;5,0;5,1;5,2;5,0;4,8;5,2;5,1;5,1;4,7;3,5;5,6
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
